word,colour,cond,delay,RT,keypress,correct,block
red,red,0,2978,257,r,True,0
green,green,0,2928,270,g,True,0
blue,blue,0,3964,230,b,True,0
yellow,yellow,0,4671,242,y,True,0
red,green,1,1221,723,g,True,0
green,red,1,2286,693,r,True,0
blue,yellow,1,3614,262,y,True,0
yellow,blue,1,2875,256,b,True,0
yellow,green,1,4992,580,g,True,1
green,green,0,1292,409,g,True,1
blue,blue,0,3433,703,b,True,1
blue,red,1,3749,679,r,True,1
green,blue,1,2375,1096,b,True,1
yellow,blue,1,1556,861,b,True,1
blue,blue,0,3747,610,b,True,1
yellow,yellow,0,3677,554,y,True,1
blue,blue,0,2249,698,b,True,1
yellow,yellow,0,2278,529,y,True,1
red,yellow,1,5722,627,y,True,1
yellow,red,1,2791,754,r,True,1
green,red,1,1653,609,r,True,1
red,red,0,3351,459,r,True,1
red,blue,1,3676,970,b,True,1
green,yellow,1,3757,750,y,True,1
green,green,0,3564,506,g,True,1
green,green,0,2928,420,g,True,1
yellow,yellow,0,2184,445,y,True,1
red,red,0,2334,462,r,True,1
yellow,yellow,0,2846,486,y,True,1
red,red,0,2282,420,r,True,1
blue,yellow,1,1386,617,y,True,1
yellow,yellow,0,1001,421,y,True,1
red,red,0,4352,442,r,True,1
yellow,red,1,1802,726,y,False,1
red,green,1,858,656,g,True,1
blue,blue,0,3101,724,b,True,1
red,red,0,3863,473,r,True,1
yellow,blue,1,3701,887,b,True,1
blue,green,1,4137,817,g,True,1
red,red,0,2590,494,r,True,1
green,green,0,3236,510,g,True,1
green,blue,1,2830,855,b,True,1
red,red,0,1800,458,r,True,1
blue,blue,0,1709,735,b,True,1
yellow,yellow,0,3168,517,y,True,1
blue,yellow,1,3416,554,y,True,1
yellow,green,1,1968,741,g,True,1
green,green,0,3134,430,g,True,1
blue,yellow,1,2906,607,y,True,1
green,blue,1,2784,824,b,True,1
green,green,0,2962,447,g,True,1
red,green,1,2068,722,g,True,1
red,yellow,1,1756,553,y,True,1
blue,blue,0,4066,550,b,True,1
blue,red,1,3600,691,r,True,1
red,red,0,2551,629,r,True,1
green,red,1,2905,653,r,True,1
blue,green,1,1582,830,g,True,1
green,green,0,3563,445,g,True,1
yellow,blue,1,4730,1050,b,True,1
yellow,yellow,0,2406,698,y,True,1
red,blue,1,3930,690,r,False,1
yellow,green,1,984,648,g,True,1
blue,red,1,3800,922,r,True,1
red,yellow,1,5135,683,y,True,1
green,green,0,2843,479,g,True,1
yellow,yellow,0,2124,455,y,True,1
blue,blue,0,3846,846,b,True,1
blue,blue,0,2926,489,b,True,1
green,yellow,1,1914,818,y,True,1
green,red,1,2801,907,r,True,1
red,green,1,3982,709,g,True,1
